,date,rank,song,artist,last-week,peak-rank,weeks-on-board,genre
390,1958-08-25,91,Ramrod,Duane Eddy His Twangy Guitar And The Rebels,,91,1,genre not found
394,1958-08-25,95,No One Knows,Dion & The Belmonts,,95,1,"['adult standards', 'brill building pop', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
396,1958-08-25,97,Little Brass Band,David Seville,,97,1,"[""children's music""]"
399,1958-08-25,100,Treasure Of Your Love,Eileen Rodgers,,100,1,['deep adult standards']
473,1958-09-01,74,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,,74,1,"['adult standards', 'easy listening', 'lounge']"
478,1958-09-01,79,"Promise Me, Love",Andy Williams,,79,1,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
479,1958-09-01,80,"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters,,80,1,"['adult standards', 'deep adult standards', 'doo-wop', 'easy listening', 'lounge', 'vocal harmony group']"
484,1958-09-01,85,Please Don't Do It,Dale Wright And The Wright Guys With the Dons,,85,1,genre not found
492,1958-09-01,93,Over The Weekend,The Playboys,,93,1,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']"
493,1958-09-01,94,Blue Ribbon Baby,Tommy Sands And The Raiders,,94,1,[]
494,1958-09-01,95,Old MacDonald,The Chargers,,95,1,"['indie rock', 'modern rock', 'philly indie']"
495,1958-09-01,96,Week End,The Kingsmen,,96,1,['classic garage rock']
496,1958-09-01,97,Up Until Now,Johnnie Ray,,97,1,"['blues rock', 'electric blues', 'modern blues', 'modern blues rock', 'modern funk']"
497,1958-09-01,98,La-Do-Dada,Dale Hawkins,,98,1,"['rock-and-roll', 'rockabilly', 'swamp rock']"
498,1958-09-01,99,Pickle Up A Doodle,Teresa Brewer,,99,1,"['adult standards', 'deep adult standards']"
499,1958-09-01,100,Big Daddy,Jill Corey,,100,1,"['alt z', 'indie electropop', 'indie poptimism', 'jacksonville indie']"
571,1958-09-08,72,Your Cheatin' Heart,George Hamilton IV,,72,1,['traditional country']
